"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          81,      -5.830724228,       -5.95773415,      -6.018329224,      -6.216968976,      -5.235474419,      -9.594953394
          0,           0,          82,      -5.845431249,      -5.981586075,      -6.029312604,      -6.220470975,      -5.249924552,      -9.598723541
          0,           0,          83,      -5.857947943,      -6.000859186,      -6.033121963,      -6.223510849,      -5.262350397,      -9.602758649
          0,           0,          84,      -5.868018414,      -6.014301935,      -6.031231138,      -6.227371731,        -5.2725764,      -9.606904863
          0,           0,          85,      -5.875978767,      -6.021327247,      -6.026045805,      -6.232604947,      -5.280886097,      -9.610989073
          0,           0,          86,       -5.88188055,      -6.021935333,      -6.019274154,       -6.23988663,      -5.287297624,      -9.614870914
          0,           0,          87,      -5.886619136,      -6.018037193,      -6.013627806,      -6.249809107,      -5.292671049,      -9.618418485
          0,           0,          88,      -5.891025221,      -6.011810081,      -6.010672839,      -6.262296282,      -5.297744368,      -9.621523609
          0,           0,          89,       -5.89597308,       -6.00542062,      -6.011654129,      -6.277015202,      -5.303286437,      -9.624105915
          0,           0,          90,      -5.902372125,      -6.000824989,      -6.017624769,      -6.293132365,      -5.310101324,      -9.626111722
          0,           0,          91,      -5.911103846,        -5.9997065,      -6.029629474,      -6.309740266,      -5.318977535,      -9.627511967
          0,           0,          92,      -5.922066623,      -6.002426462,      -6.046906898,      -6.328099482,      -5.329800882,      -9.628302482
          0,           0,          93,      -5.934304946,      -6.008348048,      -6.067203306,       -6.34833765,      -5.341728065,      -9.628507139
          0,           0,          94,       -5.94781088,      -6.017919454,      -6.090217359,      -6.368514526,      -5.354902178,      -9.628188715
          0,           0,          95,      -5.962656457,      -6.031282958,      -6.115625146,      -6.387082567,       -5.36939178,      -9.627423012
          0,           0,          96,      -5.978415927,      -6.047613838,      -6.141986346,      -6.402982893,      -5.384679255,      -9.626283049
          0,           0,          97,      -5.994399552,      -6.065708733,       -6.16729911,      -6.415751367,      -5.400068354,      -9.624839381
          0,           0,          98,      -6.009766781,      -6.084227431,      -6.189283738,      -6.425423919,      -5.414834559,      -9.623160331
          0,           0,          99,      -6.023646111,      -6.101690537,       -6.20577381,      -6.432393058,      -5.428270466,      -9.621309085
          0,           0,         100,      -6.035265882,      -6.116492698,      -6.215223978,      -6.437270002,      -5.439738005,      -9.619343818
          0,           0,         101,      -6.044163963,      -6.127210304,      -6.217408626,      -6.440452286,      -5.448832312,      -9.617298708
          0,           0,         102,      -6.050540368,      -6.133242485,      -6.213811554,      -6.442852617,      -5.455629587,      -9.615194783
          0,           0,         103,      -6.054988809,      -6.134552769,      -6.207270041,      -6.446730701,      -5.460505606,      -9.613062239
          0,           0,         104,      -6.058052472,      -6.131853432,      -6.200409254,      -6.453409269,      -5.463987821,      -9.610921727
          0,           0,         105,      -6.060408828,      -6.126912039,      -6.195223564,      -6.463206837,       -5.46682746,      -9.608796496
          0,           0,         106,      -6.062889532,      -6.121568648,      -6.193141693,       -6.47591351,      -5.469823291,      -9.606715433
          0,           0,         107,      -6.066326124,      -6.117338909,      -6.195074336,      -6.491038081,      -5.473684327,      -9.604707305
          0,           0,         108,      -6.071311366,       -6.11529636,      -6.201402741,      -6.507897308,      -5.478896114,      -9.602799053
          0,           0,         109,      -6.078140118,      -6.116081781,      -6.212085689,      -6.525459792,      -5.485717274,      -9.601015509
          0,           0,         110,      -6.086893556,      -6.120019533,       -6.22680084,       -6.54224279,      -5.494248068,      -9.599372333
          0,           0,         111,       -6.09772345,      -6.127439119,      -6.245482223,      -6.556649382,      -5.504658989,      -9.597876879
          0,           0,         112,      -6.110918865,      -6.138711477,      -6.268336102,      -6.567982204,      -5.517212068,      -9.596556998
          0,           0,         113,       -6.12589624,      -6.153134751,       -6.29361382,      -6.578001357,      -5.531335847,      -9.595448302
          0,           0,         114,      -6.141766319,       -6.16977589,      -6.318920089,      -6.586702827,      -5.546284872,      -9.594572273
          0,           0,         115,      -6.158034961,       -6.18819746,      -6.342690184,      -6.593164071,      -5.561739187,      -9.593935444
          0,           0,         116,      -6.174194757,      -6.207703651,      -6.363265251,      -6.597059672,       -5.57727231,      -9.593536169
          0,           0,         117,      -6.189609617,      -6.227161896,      -6.378894667,      -6.598879684,      -5.592273297,      -9.593359001
          0,           0,         118,      -6.203663152,      -6.245317118,      -6.388455696,      -6.599559176,      -5.606166243,      -9.593389319
          0,           0,         119,      -6.215814135,      -6.261002486,      -6.391867295,      -6.600039628,      -5.618471914,      -9.593614371
          0,           0,         120,      -6.225780786,      -6.273382759,      -6.390192894,      -6.601403623,      -5.628924764,       -9.59401791
          0,           0,         121,      -6.233628731,      -6.281966031,      -6.385389382,      -6.604964176,      -5.637503713,      -9.594578551
          0,           0,         122,      -6.239820694,      -6.286765729,      -6.379827278,      -6.611780558,      -5.644531175,      -9.595273499
          0,           0,         123,      -6.244982571,      -6.288468448,      -6.375485108,      -6.622387574,      -5.650530537,      -9.596071767
          0,           0,         124,      -6.249883291,      -6.288284482,      -6.373875456,      -6.636596072,      -5.656190077,      -9.596942906
          0,           0,         125,      -6.255216604,      -6.287477433,      -6.375816561,      -6.653821385,      -5.662132794,      -9.597849309
          0,           0,         126,       -6.26160198,      -6.287165862,      -6.381826947,      -6.673091089,      -5.668908703,      -9.598747364
          0,           0,         127,      -6.269508519,      -6.288168544,      -6.392124203,      -6.693133144,      -5.676926389,      -9.599596044
          0,           0,         128,      -6.279171058,      -6.290979079,      -6.406624305,      -6.712607608,      -5.686395523,      -9.600358073
          0,           0,         129,      -6.290663584,       -6.29583764,       -6.42508446,      -6.730187491,      -5.697409342,      -9.601002716
          0,           0,         130,       -6.30394607,      -6.302753888,      -6.447139912,      -6.745699651,      -5.709956818,      -9.601506828
          0,           0,         131,      -6.318290649,      -6.311077994,      -6.470988747,         -6.759634,      -5.723393551,      -9.601847179
          0,           0,         132,      -6.333055959,      -6.320241315,      -6.494965987,      -6.771225615,      -5.737235904,       -9.60200703
          0,           0,         133,       -6.34776158,      -6.329716536,      -6.517695209,       -6.77962458,      -5.751122522,      -9.601979037
          0,           0,         134,      -6.361766324,      -6.338674379,      -6.537426552,      -6.784797625,      -5.764463594,      -9.601768019
          0,           0,         135,      -6.374316291,      -6.346167455,      -6.552356414,      -6.787433199,       -5.77656482,      -9.601379844
          0,           0,         136,      -6.384752883,       -6.35145008,      -6.561352707,      -6.788198028,      -5.786860317,      -9.600817875
          0,           0,         137,      -6.392849501,       -6.35429621,      -6.564474077,       -6.78807427,       -5.79513204,      -9.600081077
          0,           0,         138,      -6.398673183,      -6.354664008,      -6.562943328,      -6.789524295,      -5.801344324,      -9.599173581
          0,           0,         139,       -6.40236722,      -6.352663619,      -6.558684595,      -6.794273427,      -5.805632235,      -9.598109159
          0,           0,         140,      -6.404451949,      -6.349057725,      -6.553762373,      -6.802675246,      -5.808521702,      -9.596905029
          0,           0,         141,      -6.405762279,      -6.344757366,      -6.549945074,      -6.814537188,      -5.810726139,      -9.595582864
          0,           0,         142,      -6.407242667,      -6.340622131,      -6.548577907,      -6.829416668,      -5.812999808,      -9.594168829
          0,           0,         143,       -6.40966605,      -6.337379777,      -6.550489551,      -6.846663196,       -5.81597675,      -9.592691236
          0,           0,         144,      -6.413530978,      -6.335586104,      -6.556071162,      -6.865315879,      -5.820108577,      -9.591176666
          0,           0,         145,       -6.41916298,      -6.335661975,      -6.565502105,      -6.884290398,       -5.82573346,      -9.589650319
          0,           0,         146,      -6.426973128,      -6.338002123,      -6.579215509,      -6.902409234,      -5.833275783,      -9.588136942
          0,           0,         147,      -6.437165202,      -6.342759815,      -6.597206456,      -6.919238454,      -5.842946215,      -9.586665091
          0,           0,         148,      -6.449441086,      -6.349732345,      -6.618466931,      -6.934533764,      -5.854487825,      -9.585266215
          0,           0,         149,      -6.463328438,      -6.358630208,      -6.641575348,      -6.947203022,      -5.867523765,      -9.583969138
          0,           0,         150,      -6.478524514,      -6.369229282,      -6.665422525,      -6.956003054,      -5.881847483,      -9.582795838
          0,           0,         151,      -6.494676458,      -6.381187596,      -6.688645114,       -6.96041329,      -5.897166858,      -9.581762071
          0,           0,         152,      -6.511259937,      -6.394017037,      -6.709524763,      -6.960830847,      -5.913018314,       -9.58087781
          0,           0,         153,      -6.527669346,      -6.407200843,      -6.726390634,      -6.958354789,      -5.928890122,       -9.58014686
          0,           0,         154,      -6.543353612,      -6.420285345,      -6.738230362,      -6.954781755,      -5.944324623,      -9.579570038
          0,           0,         155,      -6.557774392,      -6.432730262,      -6.744751622,      -6.952338798,      -5.958829956,      -9.579147022
          0,           0,         156,      -6.570377191,      -6.443919774,      -6.746382102,      -6.952836471,      -5.971866498,      -9.578876847
          0,           0,         157,      -6.580817204,      -6.453453017,      -6.744320948,      -6.956794725,      -5.983094531,      -9.578756309
          0,           0,         158,      -6.589254255,      -6.461235468,       -6.74042335,      -6.964120313,      -5.992597091,      -9.578777497
          0,           0,         159,      -6.596204214,      -6.467356671,      -6.736540247,      -6.974626504,      -6.000717542,       -9.57892844
          0,           0,         160,      -6.602345699,      -6.472051955,      -6.734216678,      -6.988008042,      -6.007936595,      -9.579191611
          0,           0,         161,      -6.608403755,      -6.475651582,      -6.734703074,      -7.003985755,      -6.014816354,      -9.579547429
          0,           0,         162,      -6.614942213,      -6.478521734,      -6.738806864,      -7.022332912,      -6.021844575,      -9.579973208
          0,           0,         163,      -6.622464982,      -6.481034008,      -6.747043985,      -7.042541672,      -6.029519314,      -9.580444968
          0,           0,         164,      -6.631232977,      -6.483481605,      -6.759396022,      -7.064032085,      -6.038117876,       -9.58093851
          0,           0,         165,      -6.641229316,      -6.486028701,      -6.775299326,      -7.085702701,      -6.047656805,      -9.581428544
          0,           0,         166,       -6.65241087,      -6.488754995,      -6.794193677,      -7.105814541,      -6.058131465,      -9.581891479
          0,           0,         167,      -6.664608005,      -6.491607572,       -6.81534021,      -7.122572572,      -6.069408523,      -9.582307571
          0,           0,         168,      -6.677411414,      -6.494392363,      -6.837593798,      -7.134603865,      -6.081140122,      -9.582660189
